,Player,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds.1,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
0,Ethan Westbrooks,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0
1,Nick Thurman,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,0,0
2,Za'Darius Smith,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,0
3,Jabaal Sheard,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0
4,Freedom Akinmoladun,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,0
5,Rashad Weaver,2,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,0
6,Brandon Graham,2,2,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,1,1,0,0
7,Jabari Zuniga,3,0,0,0,0,0,0,1,0,0,0,0,1.0,3,1,2,0,1,0,0
8,Cameron Malveaux,3,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,2,0,0
9,Justin Lawler,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0
10,Darryl Johnson,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0
11,Da'Shawn Hand,3,0,0,0,0,0,1,0,0,0,0,0,0.0,2,1,1,0,0,0,0
12,William Bradley-King,3,0,0,0,0,0,0,0,0,0,0,0,0.5,5,0,5,0,1,0,0
13,Eric Banks,3,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,0
14,Abdullah Anderson,3,0,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,0
15,Chris Smith,4,0,0,0,0,0,0,0,0,0,0,0,1.5,8,4,4,1,3,0,0
16,Chauncey Rivers,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,0
17,Cassius Marsh,4,0,0,0,0,0,0,0,0,0,0,0,1.0,6,4,2,0,2,0,0
18,John Cominsky,4,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,1,0,0,0
